Jan	1950	102526.4709																					
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	101839	101888	101920	101897	101817	101717	101664	101710	101874	102119	102370	102561	102668	102719	102758	102814	102867	102889	102856	102772	102659	
	42.5	101911	101945	102007	102063	102083	102056	102004	101977	102023	102167	102390	102633	102838	102969	103028	103045	103040	103017	102967	102886	102778	
	45	102003	102022	102090	102193	102294	102357	102375	102371	102398	102493	102662	102863	103037	103143	103175	103166	103143	103114	103062	102970	102839	
	47.5	102067	102073	102112	102187	102284	102381	102461	102528	102603	102704	102828	102950	103045	103099	103125	103149	103180	103191	103149	103024	102833	
	50	102049	102075	102098	102134	102193	102275	102373	102483	102595	102701	102791	102857	102906	102956	103034	103144	103262	103329	103288	103121	102868	
	52.5	101914	101990	102049	102100	102159	102235	102328	102433	102533	102617	102675	102720	102774	102868	103020	103211	103390	103487	103444	103263	102998	
	55	101692	101805	101913	102016	102112	102205	102296	102379	102447	102497	102534	102578	102658	102790	102979	103193	103374	103466	103430	103285	103085	
	57.5	101500	101601	101718	101840	101958	102064	102155	102225	102276	102314	102349	102404	102494	102628	102795	102963	103095	103157	103137	103059	102964	
	60	101458	101510	101586	101681	101783	101883	101971	102046	102107	102159	102213	102279	102363	102464	102571	102665	102728	102752	102741	102718	102707	102526.4709
Jan	1951																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102297	102376	102506	102615	102646	102595	102519	102489	102540	102661	102817	102980	103148	103322	103491	103624	103689	103672	103582	103441	103273	
	42.5	102451	102546	102708	102879	103000	103048	103042	103034	103063	103144	103273	103428	103591	103740	103853	103913	103909	103844	103731	103586	103430	
	45	102638	102714	102849	103020	103194	103341	103458	103549	103635	103723	103814	103903	103977	104029	104055	104050	104009	103928	103806	103645	103466	
	47.5	102808	102843	102905	103011	103160	103343	103542	103735	103901	104017	104076	104087	104064	104030	104008	103998	103983	103929	103809	103614	103373	
	50	102889	102893	102902	102944	103042	103206	103420	103650	103846	103972	104012	103984	103923	103877	103875	103912	103955	103940	103822	103592	103298	
